dataset,model,variant,feature,importance
occupation,XGBoost,Underfit,cat__MARITAL_STATUS_Married-AF-spouse,0.0
occupation,XGBoost,Underfit,cat__MARITAL_STATUS_Married-civ-spouse,0.6889660954475403
occupation,XGBoost,Underfit,cat__MARITAL_STATUS_Married-spouse-absent,0.0
occupation,XGBoost,Underfit,cat__MARITAL_STATUS_Never-married,0.005273545626550913
occupation,XGBoost,Underfit,cat__MARITAL_STATUS_Separated,0.0
occupation,XGBoost,Underfit,cat__MARITAL_STATUS_Widowed,0.0
occupation,XGBoost,Underfit,cat__OCCUPATION_Adm-clerical,0.0
occupation,XGBoost,Underfit,cat__OCCUPATION_Armed-Forces,0.0
occupation,XGBoost,Underfit,cat__OCCUPATION_Craft-repair,0.0004935371107421815
occupation,XGBoost,Underfit,cat__OCCUPATION_Exec-managerial,0.002553796162828803
occupation,XGBoost,Underfit,cat__OCCUPATION_Farming-fishing,0.0
occupation,XGBoost,Underfit,cat__OCCUPATION_Handlers-cleaners,0.0
occupation,XGBoost,Underfit,cat__OCCUPATION_Machine-op-inspct,0.0
occupation,XGBoost,Underfit,cat__OCCUPATION_Other-service,0.009358329698443413
occupation,XGBoost,Underfit,cat__OCCUPATION_Priv-house-serv,0.0
occupation,XGBoost,Underfit,cat__OCCUPATION_Prof-specialty,0.005478872451931238
occupation,XGBoost,Underfit,cat__OCCUPATION_Protective-serv,0.0024291679728776217
occupation,XGBoost,Underfit,cat__OCCUPATION_Sales,0.0
occupation,XGBoost,Underfit,cat__OCCUPATION_Tech-support,0.0
occupation,XGBoost,Underfit,cat__OCCUPATION_Transport-moving,0.0
occupation,XGBoost,Underfit,cat__RACE_Amer-Indian-Eskimo,0.0
occupation,XGBoost,Underfit,cat__RACE_Asian-Pac-Islander,0.0048837908543646336
occupation,XGBoost,Underfit,cat__RACE_Black,0.0
occupation,XGBoost,Underfit,cat__RACE_Other,0.0
occupation,XGBoost,Underfit,cat__RACE_White,0.0
occupation,XGBoost,Underfit,cat__GENDER_Female,0.004939476028084755
occupation,XGBoost,Underfit,cat__GENDER_Male,0.0
occupation,XGBoost,Underfit,num__AGE,0.0090561518445611
occupation,XGBoost,Underfit,num__EDUCATION_YEARS,0.11599184572696686
occupation,XGBoost,Underfit,num__CAPITAL_GAIN,0.10317262262105942
occupation,XGBoost,Underfit,num__CAPITAL_LOSS,0.0025468028616160154
occupation,XGBoost,Underfit,num__HOURS_PER_WEEK,0.010966735891997814
occupation,XGBoost,Overfit,cat__EDUCATION_10th,0.009407545439898968
occupation,XGBoost,Overfit,cat__EDUCATION_11th,0.008075096644461155
occupation,XGBoost,Overfit,cat__EDUCATION_12th,0.0
occupation,XGBoost,Overfit,cat__EDUCATION_1st-4th,0.0
occupation,XGBoost,Overfit,cat__EDUCATION_5th-6th,0.0
occupation,XGBoost,Overfit,cat__EDUCATION_7th-8th,0.006277789827436209
occupation,XGBoost,Overfit,cat__EDUCATION_9th,0.0
