dataset,feature,model,variant,split,random,majority,accuracy,duration
occupation,RACE,Decision Tree,Underfit,Train,0.7318971999999999,0.8492,0.85025,3.027129650115967
occupation,RACE,Decision Tree,Underfit,Test,0.7318971999999999,0.8492,0.845,0.7855350971221924
occupation,RACE,Decision Tree,Overfit,Train,0.7318971999999999,0.8492,0.7995,3.0365347862243652
occupation,RACE,Decision Tree,Overfit,Test,0.7318971999999999,0.8492,0.796,0.7980329990386963
occupation,RACE,Random Forest,Optimal,Train,0.7318971999999999,0.8492,0.33325,6.96833872795105
occupation,RACE,Random Forest,Optimal,Test,0.7318971999999999,0.8492,0.236,2.1417109966278076
occupation,RACE,Random Forest,Underfit,Train,0.7318971999999999,0.8492,0.22725,4.289422035217285
occupation,RACE,Random Forest,Underfit,Test,0.7318971999999999,0.8492,0.224,1.1309964656829834
occupation,RACE,Random Forest,Overfit,Train,0.7318971999999999,0.8492,0.3755,11.441084384918213
occupation,RACE,Random Forest,Overfit,Test,0.7318971999999999,0.8492,0.269,4.04788875579834
occupation,GENDER,XGBoost,Optimal,Train,0.5626580000000001,0.677,0.65775,3.723250389099121
occupation,GENDER,XGBoost,Optimal,Test,0.5626580000000001,0.677,0.683,1.0280134677886963
occupation,GENDER,XGBoost,Underfit,Train,0.5626580000000001,0.677,0.71525,3.7854056358337402
occupation,GENDER,XGBoost,Underfit,Test,0.5626580000000001,0.677,0.74,1.000474452972412
occupation,GENDER,XGBoost,Overfit,Train,0.5626580000000001,0.677,0.5705,3.92423415184021
occupation,GENDER,XGBoost,Overfit,Test,0.5626580000000001,0.677,0.509,1.074340581893921
occupation,GENDER,Decision Tree,Optimal,Train,0.5626580000000001,0.677,0.70725,2.9632201194763184
occupation,GENDER,Decision Tree,Optimal,Test,0.5626580000000001,0.677,0.738,0.7461066246032715
occupation,GENDER,Decision Tree,Underfit,Train,0.5626580000000001,0.677,0.672,2.950002670288086
occupation,GENDER,Decision Tree,Underfit,Test,0.5626580000000001,0.677,0.697,0.7650847434997559
occupation,GENDER,Decision Tree,Overfit,Train,0.5626580000000001,0.677,0.68425,2.954850196838379
occupation,GENDER,Decision Tree,Overfit,Test,0.5626580000000001,0.677,0.716,0.7748754024505615
occupation,GENDER,Random Forest,Optimal,Train,0.5626580000000001,0.677,0.61275,6.859374761581421
occupation,GENDER,Random Forest,Optimal,Test,0.5626580000000001,0.677,0.534,2.1674323081970215
occupation,GENDER,Random Forest,Underfit,Train,0.5626580000000001,0.677,0.501,4.168521404266357
occupation,GENDER,Random Forest,Underfit,Test,0.5626580000000001,0.677,0.508,1.1025190353393555
