Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline,Successful_Attack,Improvement_Over_Baseline
occupation,Gender,XGBoost,Overfitted,Test,0.425,0.5,0.677,False,0.6277695716395864
occupation,Gender,DecisionTree,Underfitted,Train,0.672,0.5,0.677,False,0.9926144756277696
occupation,Gender,DecisionTree,Underfitted,Test,0.697,0.5,0.677,True,1.0295420974889216
occupation,Gender,DecisionTree,Optimal,Train,0.44125,0.5,0.677,False,0.6517725258493352
occupation,Gender,DecisionTree,Optimal,Test,0.443,0.5,0.677,False,0.6543574593796159
occupation,Gender,DecisionTree,Overfitted,Train,0.59625,0.5,0.677,False,0.8807237813884784
occupation,Gender,DecisionTree,Overfitted,Test,0.609,0.5,0.677,False,0.8995568685376661
occupation,Gender,RandomForest,Underfitted,Train,0.347,0.5,0.677,False,0.5125553914327916
occupation,Gender,RandomForest,Underfitted,Test,0.327,0.5,0.677,False,0.48301329394387
occupation,Gender,RandomForest,Optimal,Train,0.418,0.5,0.677,False,0.6174298375184637
occupation,Gender,RandomForest,Optimal,Test,0.39,0.5,0.677,False,0.5760709010339734
occupation,Gender,RandomForest,Overfitted,Train,0.55175,0.5,0.677,False,0.8149926144756277
occupation,Gender,RandomForest,Overfitted,Test,0.482,0.5,0.677,False,0.7119645494830132
occupation,Gender,NeuralNetwork,Underfitted,Train,0.389,0.5,0.677,False,0.5745937961595273
occupation,Gender,NeuralNetwork,Underfitted,Test,0.38,0.5,0.677,False,0.5612998522895125
occupation,Gender,NeuralNetwork,Optimal,Train,0.39675,0.5,0.677,False,0.5860413589364845
occupation,Gender,NeuralNetwork,Optimal,Test,0.405,0.5,0.677,False,0.5982274741506647
occupation,Gender,NeuralNetwork,Overfitted,Train,0.4405,0.5,0.677,False,0.6506646971935007
occupation,Gender,NeuralNetwork,Overfitted,Test,0.403,0.5,0.677,False,0.5952732644017725
occupation,Race,XGBoost,Underfitted,Train,0.85025,0.2,0.8492,True,1.0012364578426756
occupation,Race,XGBoost,Underfitted,Test,0.845,0.2,0.8492,False,0.9950541686292982
